Order ID,Order Date,Product Name,Category,Sub-Category,Quantity,Unit Price,Sales,Profit,Region
O-100000,2024-05-16,Corner Bookcase,Furniture,Bookcases,4,157.23,672.29,105.42,East
O-100001,2024-12-13,Scanner,Technology,Machines,2,245.08,496.24,101.53,West
O-100002,2024-09-24,Headphones,Technology,Accessories,2,428.1,792.5,204.63,West
O-100003,2024-08-06,Mouse,Technology,Accessories,5,535.19,2933.54,573.96,Central
O-100004,2024-02-26,Task Chair,Furniture,Chairs,3,203.2,591.25,83.61,East
O-100005,2024-02-26,Meeting Table,Furniture,Tables,1,213.92,214.92,30.41,South
O-100006,2024-01-22,Smartphone Z,Technology,Phones,1,333.79,331.01,72.32,East
O-100007,2024-11-12,Smartphone Y,Technology,Phones,2,406.89,807.64,170.55,Central
O-100008,2024-08-07,Desk Organizer,Office Supplies,Storage,4,30.43,128.88,15.43,West
O-100009,2024-09-15,Headphones,Technology,Accessories,4,398.26,1674.84,371.71,East
O-100010,2024-01-08,Keyboard,Technology,Accessories,3,406.89,1281.88,289.45,Central
O-100011,2024-12-20,Wood Bookcase,Furniture,Bookcases,2,225.55,450.9,63.37,Central
O-100012,2024-10-30,Headphones,Technology,Accessories,3,291.41,819.45,147.01,West
O-100013,2024-03-18,Smartphone X,Technology,Phones,1,378.98,371.09,97.04,West
O-100014,2024-03-07,Study Table,Furniture,Tables,3,231.56,648.67,117.22,Central
O-100015,2024-03-07,Task Chair,Furniture,Chairs,5,189.12,934.31,178.95,East
O-100016,2024-04-21,Scanner,Technology,Machines,1,421.2,435.35,101.64,East
O-100017,2024-07-10,Copier,Technology,Machines,3,396.4,1233.64,221.2,East
O-100018,2024-06-06,Keyboard,Technology,Accessories,5,438.7,2022.74,497.51,South
O-100019,2024-04-16,Smartphone X,Technology,Phones,2,381.17,811.02,209.23,West
O-100020,2024-08-11,Study Table,Furniture,Tables,1,177.39,172.0,30.11,Central
O-100021,2024-02-20,"2"" Binder",Office Supplies,Binders,5,27.54,146.13,22.56,East
O-100022,2024-04-16,Executive Chair,Furniture,Chairs,2,163.07,336.27,77.06,East
O-100023,2024-05-13,Metal Bookcase,Furniture,Bookcases,1,220.15,207.62,34.47,East
O-100024,2024-06-15,Smartphone Y,Technology,Phones,4,457.89,1892.0,370.89,South
O-100025,2024-10-13,Storage Bin,Office Supplies,Storage,3,34.0,99.75,10.77,East
O-100026,2024-03-13,Ring Binder,Office Supplies,Binders,3,26.79,84.23,13.63,West
O-100027,2024-07-06,Scanner,Technology,Machines,3,392.76,1255.11,301.14,South
O-100028,2024-08-04,Headphones,Technology,Accessories,1,471.09,450.51,115.91,East
O-100029,2024-01-17,Smartphone X,Technology,Phones,1,357.86,322.96,70.04,West
O-100030,2024-08-09,File Box,Office Supplies,Storage,3,33.93,92.92,14.66,South
O-100031,2024-03-03,"2"" Binder",Office Supplies,Binders,5,39.17,209.1,20.6,West
O-100032,2024-01-24,Study Table,Furniture,Tables,5,170.65,909.8,172.77,East
O-100033,2024-12-12,Ergo Chair,Furniture,Chairs,4,201.44,865.15,118.07,South
O-100034,2024-12-18,Corner Bookcase,Furniture,Bookcases,4,196.97,730.76,119.9,East
O-100035,2024-10-22,Task Chair,Furniture,Chairs,4,235.02,994.38,192.87,Central
O-100036,2024-04-21,Meeting Table,Furniture,Tables,3,216.97,664.01,135.7,West
O-100037,2024-02-05,"3"" Binder",Office Supplies,Binders,1,30.86,27.79,2.06,Central
O-100038,2024-09-06,Scanner,Technology,Machines,1,286.8,293.83,63.75,West
O-100039,2024-06-09,A4 Paper,Office Supplies,Paper,5,14.44,65.06,4.6,East
O-100040,2024-02-14,Executive Chair,Furniture,Chairs,5,141.97,695.2,93.46,East
O-100041,2024-06-29,Smartphone X,Technology,Phones,1,374.66,345.72,70.71,West
O-100042,2024-01-13,Smartphone Z,Technology,Phones,3,460.65,1289.42,269.47,Central
O-100043,2024-11-27,Smartphone X,Technology,Phones,5,393.02,2007.51,403.38,South
O-100044,2024-04-04,Mouse,Technology,Accessories,1,361.36,343.84,60.5,Central
O-100045,2024-08-29,"3"" Binder",Office Supplies,Binders,1,30.88,30.61,3.27,East
O-100046,2024-04-23,A4 Paper,Office Supplies,Paper,4,28.65,124.72,17.07,Central
O-100047,2024-07-08,File Box,Office Supplies,Storage,2,26.1,52.22,4.38,East
O-100048,2024-07-18,Metal Bookcase,Furniture,Bookcases,3,208.4,666.34,152.68,South
O-100049,2024-03-08,Storage Bin,Office Supplies,Storage,1,40.12,36.79,4.04,South
O-100050,2024-12-19,Copier,Technology,Machines,1,468.44,500.82,119.82,West
O-100051,2024-10-09,File Box,Office Supplies,Storage,5,37.72,202.24,26.09,East
O-100052,2024-12-08,Storage Bin,Office Supplies,Storage,1,19.08,19.39,2.08,Central
O-100053,2024-11-22,Smartphone Z,Technology,Phones,2,344.55,643.19,137.03,East
O-100054,2024-08-06,Smartphone Z,Technology,Phones,4,418.21,1632.33,278.59,West
O-100055,2024-12-02,Printer,Technology,Machines,1,230.73,238.9,55.09,West
O-100056,2024-02-02,Meeting Table,Furniture,Tables,4,155.41,571.82,86.28,South
O-100057,2024-03-12,Desk Organizer,Office Supplies,Storage,3,30.59,85.29,10.13,East
O-100058,2024-01-17,Smartphone Y,Technology,Phones,4,455.76,1860.57,470.11,South
O-100059,2024-04-28,Metal Bookcase,Furniture,Bookcases,4,186.65,676.56,153.63,Central
O-100060,2024-05-21,Smartphone X,Technology,Phones,5,525.83,2804.59,600.31,West
O-100061,2024-04-09,Metal Bookcase,Furniture,Bookcases,1,210.02,210.33,41.59,East
O-100062,2024-10-29,Printer,Technology,Machines,4,425.95,1604.06,398.19,Central
O-100063,2024-05-10,"2"" Binder",Office Supplies,Binders,2,27.85,55.27,7.91,East
O-100064,2024-04-12,Smartphone Y,Technology,Phones,3,420.64,1286.94,264.27,West
O-100065,2024-07-17,Folding Table,Furniture,Tables,4,159.22,580.55,114.99,West
O-100066,2024-02-21,Meeting Table,Furniture,Tables,3,215.08,643.1,139.14,Central
O-100067,2024-10-19,Ring Binder,Office Supplies,Binders,1,29.82,30.19,3.45,Central
O-100068,2024-01-28,Scanner,Technology,Machines,1,495.52,521.74,118.62,South
O-100069,2024-12-26,Ergo Chair,Furniture,Chairs,1,186.52,191.75,30.65,East
O-100070,2024-10-08,Storage Bin,Office Supplies,Storage,5,44.0,238.76,17.17,West
O-100071,2024-03-13,Storage Bin,Office Supplies,Storage,2,31.15,57.75,5.77,West
O-100072,2024-01-03,Scanner,Technology,Machines,1,390.1,400.47,70.84,East
O-100073,2024-10-24,Smartphone Z,Technology,Phones,1,371.48,397.18,91.89,East
O-100074,2024-09-15,"3"" Binder",Office Supplies,Binders,4,25.95,100.66,8.16,South
O-100075,2024-09-23,Mouse,Technology,Accessories,5,388.44,1787.19,459.12,Central
O-100076,2024-10-08,Study Table,Furniture,Tables,4,192.83,705.43,120.13,West
O-100077,2024-01-28,Corner Bookcase,Furniture,Bookcases,3,203.3,551.6,103.88,South
O-100078,2024-05-10,"2"" Binder",Office Supplies,Binders,5,20.08,103.37,8.51,South
O-100079,2024-02-12,"3"" Binder",Office Supplies,Binders,2,37.22,79.23,9.94,Central
O-100080,2024-11-11,"3"" Binder",Office Supplies,Binders,4,23.49,95.15,7.8,South
O-100081,2024-08-15,Copier,Technology,Machines,2,318.7,590.72,137.61,East
O-100082,2024-04-30,Printer,Technology,Machines,1,349.9,334.24,80.45,East
O-100083,2024-01-24,Smartphone Y,Technology,Phones,5,401.23,2182.87,389.14,South
O-100084,2024-04-23,Copier,Technology,Machines,1,361.9,382.81,99.22,West
O-100085,2024-04-28,Printer,Technology,Machines,1,469.95,487.53,106.96,West
O-100086,2024-09-23,Desk Organizer,Office Supplies,Storage,5,35.79,195.63,28.58,South
O-100087,2024-08-20,Mouse,Technology,Accessories,5,498.89,2482.18,579.43,South
O-100088,2024-11-19,Folding Table,Furniture,Tables,4,197.08,726.99,140.63,Central
O-100089,2024-06-21,Wood Bookcase,Furniture,Bookcases,5,244.47,1201.94,255.07,South
O-100090,2024-02-13,Executive Chair,Furniture,Chairs,3,233.5,742.0,152.41,East
O-100091,2024-09-17,Desk Organizer,Office Supplies,Storage,3,37.84,109.33,14.7,West
O-100092,2024-10-04,Mouse,Technology,Accessories,4,480.17,2029.01,455.27,East
O-100093,2024-07-23,A4 Paper,Office Supplies,Paper,2,33.1,59.84,4.93,West
O-100094,2024-10-08,Desk Organizer,Office Supplies,Storage,1,28.47,29.75,4.69,East
O-100095,2024-06-29,Photo Paper,Office Supplies,Paper,4,32.66,124.56,11.46,East
O-100096,2024-07-09,Mouse,Technology,Accessories,2,453.83,838.72,164.86,East
O-100097,2024-06-05,Task Chair,Furniture,Chairs,2,223.67,422.58,82.06,Central
O-100098,2024-01-10,A4 Paper,Office Supplies,Paper,4,31.04,131.12,15.18,West
O-100099,2024-02-09,File Box,Office Supplies,Storage,1,31.46,34.21,4.46,West
O-100100,2024-01-12,Study Table,Furniture,Tables,1,207.51,213.78,41.57,Central
O-100101,2024-08-20,Smartphone Z,Technology,Phones,2,272.5,511.85,94.22,Central
O-100102,2024-04-24,Smartphone Z,Technology,Phones,3,401.71,1303.09,242.88,Central
O-100103,2024-07-04,Scanner,Technology,Machines,4,430.22,1734.24,305.34,Central
O-100104,2024-11-27,"2"" Binder",Office Supplies,Binders,4,24.99,92.65,15.36,West
O-100105,2024-03-31,Executive Chair,Furniture,Chairs,5,283.58,1549.0,297.55,South
O-100106,2024-05-29,Keyboard,Technology,Accessories,5,583.12,3127.83,682.28,South
O-100107,2024-10-02,Photo Paper,Office Supplies,Paper,5,20.66,103.86,11.34,Central
O-100108,2024-03-24,Corner Bookcase,Furniture,Bookcases,2,139.61,276.93,61.46,East
O-100109,2024-01-29,Study Table,Furniture,Tables,4,204.85,873.38,177.48,West
O-100110,2024-04-15,File Box,Office Supplies,Storage,2,29.45,63.07,9.29,West
O-100111,2024-02-28,Corner Bookcase,Furniture,Bookcases,1,216.07,201.49,37.58,Central
O-100112,2024-12-05,A4 Paper,Office Supplies,Paper,2,26.71,53.98,8.12,East
O-100113,2024-10-21,Headphones,Technology,Accessories,3,501.57,1430.62,278.37,West
O-100114,2024-08-19,Smartphone Y,Technology,Phones,4,339.36,1471.34,396.27,East
O-100115,2024-11-14,Smartphone Z,Technology,Phones,4,274.69,1008.82,174.79,East
O-100116,2024-10-20,"3"" Binder",Office Supplies,Binders,1,25.89,26.22,2.78,Central
O-100117,2024-03-09,Study Table,Furniture,Tables,5,231.63,1268.03,168.33,South
O-100118,2024-11-21,Smartphone Y,Technology,Phones,1,417.11,398.96,105.74,Central
